run_id,ticker,company_name,ai_vulnerability_score_v2,approved_role_share_pct,threshold_met,headcount_verification_status,role_signal_count,approved_mapping_count,blocker,stage,updated_at
pilot25_2026Q1_v1,AKAM,Akamai Technologies,8.25,80.00,yes,approved,4,3,,published_score,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ADI,Analog Devices,8.00,53.06,yes,approved,1,1,,published_score,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,A,Agilent Technologies,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,AAPL,Apple Inc.,,0.00,no,approved,0,0,no_role_mix_signal,needs_role_signal,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ABBV,AbbVie,,0.00,no,approved,0,0,no_role_mix_signal,needs_role_signal,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ABNB,Airbnb,,0.00,no,approved,0,0,no_role_mix_signal,needs_role_signal,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ABT,Abbott Laboratories,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ACGL,Arch Capital Group,,0.00,no,approved,0,0,no_role_mix_signal,needs_role_signal,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ACN,Accenture,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ADBE,Adobe Inc.,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ADM,Archer Daniels Midland,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ADP,Automatic Data Processing,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ADSK,Autodesk,,0.00,no,approved,0,0,no_role_mix_signal,needs_role_signal,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,AEE,Ameren,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,AEP,American Electric Power,,0.00,no,unverified,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,AES,AES Corporation,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,AFL,Aflac,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,AIG,American International Group,,0.00,no,unverified,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,AIZ,Assurant,,0.00,no,approved,0,0,no_role_mix_signal,needs_role_signal,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,AJG,Arthur J. Gallagher & Co.,,0.00,no,approved,0,0,no_role_mix_signal,needs_role_signal,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ALB,Albemarle Corporation,,0.00,no,approved,0,0,no_role_mix_signal,needs_role_signal,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ALGN,Align Technology,,0.00,no,approved,2,0,no_role_mapping_approved,needs_mapping_adjudication,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ALL,Allstate,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,ALLE,Allegion,,0.00,no,approved,0,0,no_role_mix_signal,needs_role_signal,2026-03-16T17:57:52.068Z
pilot25_2026Q1_v1,AMAT,Applied Materials,,0.00,no,needs_research,0,0,headcount_not_verified,needs_headcount_review,2026-03-16T17:57:52.068Z
