run_id,as_of_date,ticker,ticker_norm,company_name,cik,sec_title,gics_sector,gics_sub_industry,cik_match_status
pilot25_2026Q1_v1,2026-03-16,A,A,Agilent Technologies,0001090872,"AGILENT TECHNOLOGIES, INC.",Health Care,Life Sciences Tools & Services,matched
pilot25_2026Q1_v1,2026-03-16,AAPL,AAPL,Apple Inc.,0000320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",matched
pilot25_2026Q1_v1,2026-03-16,ABBV,ABBV,AbbVie,0001551152,AbbVie Inc.,Health Care,Biotechnology,matched
pilot25_2026Q1_v1,2026-03-16,ABNB,ABNB,Airbnb,0001559720,"Airbnb, Inc.",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",matched
pilot25_2026Q1_v1,2026-03-16,ABT,ABT,Abbott Laboratories,0000001800,ABBOTT LABORATORIES,Health Care,Health Care Equipment,matched
pilot25_2026Q1_v1,2026-03-16,ACGL,ACGL,Arch Capital Group,0000947484,ARCH CAPITAL GROUP LTD.,Financials,Property & Casualty Insurance,matched
pilot25_2026Q1_v1,2026-03-16,ACN,ACN,Accenture,0001467373,Accenture plc,Information Technology,IT Consulting & Other Services,matched
pilot25_2026Q1_v1,2026-03-16,ADBE,ADBE,Adobe Inc.,0000796343,ADOBE INC.,Information Technology,Application Software,matched
pilot25_2026Q1_v1,2026-03-16,ADI,ADI,Analog Devices,0000006281,ANALOG DEVICES INC,Information Technology,Semiconductors,matched
pilot25_2026Q1_v1,2026-03-16,ADM,ADM,Archer Daniels Midland,0000007084,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products & Services,matched
pilot25_2026Q1_v1,2026-03-16,ADP,ADP,Automatic Data Processing,0000008670,AUTOMATIC DATA PROCESSING INC,Industrials,Human Resource & Employment Services,matched
pilot25_2026Q1_v1,2026-03-16,ADSK,ADSK,Autodesk,0000769397,"Autodesk, Inc.",Information Technology,Application Software,matched
pilot25_2026Q1_v1,2026-03-16,AEE,AEE,Ameren,0001002910,AMEREN CORP,Utilities,Multi-Utilities,matched
pilot25_2026Q1_v1,2026-03-16,AEP,AEP,American Electric Power,0000004904,AMERICAN ELECTRIC POWER CO INC,Utilities,Electric Utilities,matched
pilot25_2026Q1_v1,2026-03-16,AES,AES,AES Corporation,0000874761,AES CORP,Utilities,Independent Power Producers & Energy Traders,matched
pilot25_2026Q1_v1,2026-03-16,AFL,AFL,Aflac,0000004977,AFLAC INC,Financials,Life & Health Insurance,matched
pilot25_2026Q1_v1,2026-03-16,AIG,AIG,American International Group,0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Multi-line Insurance,matched
pilot25_2026Q1_v1,2026-03-16,AIZ,AIZ,Assurant,0001267238,"ASSURANT, INC.",Financials,Multi-line Insurance,matched
pilot25_2026Q1_v1,2026-03-16,AJG,AJG,Arthur J. Gallagher & Co.,0000354190,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,matched
pilot25_2026Q1_v1,2026-03-16,AKAM,AKAM,Akamai Technologies,0001086222,AKAMAI TECHNOLOGIES INC,Information Technology,Internet Services & Infrastructure,matched
pilot25_2026Q1_v1,2026-03-16,ALB,ALB,Albemarle Corporation,0000915913,ALBEMARLE CORP,Materials,Specialty Chemicals,matched
pilot25_2026Q1_v1,2026-03-16,ALGN,ALGN,Align Technology,0001097149,ALIGN TECHNOLOGY INC,Health Care,Health Care Supplies,matched
pilot25_2026Q1_v1,2026-03-16,ALL,ALL,Allstate,0000899051,ALLSTATE CORP,Financials,Property & Casualty Insurance,matched
pilot25_2026Q1_v1,2026-03-16,ALLE,ALLE,Allegion,0001579241,Allegion plc,Industrials,Building Products,matched
pilot25_2026Q1_v1,2026-03-16,AMAT,AMAT,Applied Materials,0000006951,APPLIED MATERIALS INC /DE,Information Technology,Semiconductor Materials & Equipment,matched
